"team","season","rating","shots_outofbox","shots_sixyardbox","shots_penaltyarea","shots_openplay","shots_counter","shots_setpiece","shots_penaltytaken","shots_offtarget","shots_onpost","shots_ontarget","shots_blocked","shots_rightfoot","shots_leftfoot","shots_head","shots_other","goals_sixyardbox","goals_penaltyarea","goals_outofbox","goals_openplay","goals_counter","goals_setpiece","goals_penaltyscored","goals_own","goals_normal","goals_rightfoot","goals_leftfoot","goals_head","goals_other","shots_outofbox_home","shots_sixyardbox_home","shots_penaltyarea_home","shots_openplay_home","shots_counter_home","shots_setpiece_home","shots_penaltytaken_home","shots_offtarget_home","shots_onpost_home","shots_ontarget_home","shots_blocked_home","shots_rightfoot_home","shots_leftfoot_home","shots_head_home","shots_other_home","goals_sixyardbox_home","goals_penaltyarea_home","goals_outofbox_home","goals_openplay_home","goals_counter_home","goals_setpiece_home","goals_penaltyscored_home","goals_own_home","goals_normal_home","goals_rightfoot_home","goals_leftfoot_home","goals_head_home","goals_other_home","shots_outofbox_away","shots_sixyardbox_away","shots_penaltyarea_away","shots_openplay_away","shots_counter_away","shots_setpiece_away","shots_penaltytaken_away","shots_offtarget_away","shots_onpost_away","shots_ontarget_away","shots_blocked_away","shots_rightfoot_away","shots_leftfoot_away","shots_head_away","shots_other_away","goals_sixyardbox_away","goals_penaltyarea_away","goals_outofbox_away","goals_openplay_away","goals_counter_away","goals_setpiece_away","goals_penaltyscored_away","goals_own_away","goals_normal_away","goals_rightfoot_away","goals_leftfoot_away","goals_head_away","goals_other_away"
"Wolverhampton Wanderers","2010-11","6.65","179","49","231","282","7","167","3","188","9","139","132","143","212","101","3","14","26","5","25","1","16","3","2","42","16","18","10","1","141","28","124","197","9","84","3","131","3","83","79","122","129","40","2","10","15","4","15","1","10","3","3","26","13","11","5","0","78","21","105","131","3","68","2","86","5","58","60","64","98","42","0","5","10","1","7","1","6","2","1","14","5","7","4","0"
"Manchester United","2011-12","7.15","253","59","334","447","22","166","11","227","13","243","176","406","145","93","2","22","50","15","58","2","18","9","2","78","56","14","16","1","152","36","216","277","12","106","9","143","6","147","114","246","97","59","2","9","32","10","34","0","10","7","0","44","35","8","7","1","101","23","118","170","10","60","2","84","7","96","62","160","48","34","0","13","18","5","24","2","8","2","2","34","21","6","9","0"
"Manchester City","2011-12","7.12","288","56","394","549","25","156","8","276","17","250","212","395","274","66","3","18","53","20","59","6","19","7","2","84","54","25","10","2","153","33","219","297","15","85","8","138","8","144","123","224","152","27","2","11","32","10","34","2","10","7","0","46","34","13","5","1","135","23","175","252","10","71","0","138","9","106","89","171","122","39","1","7","21","10","25","4","9","0","2","38","20","12","5","1"
"Tottenham","2011-12","7.04","331","40","330","492","34","170","5","278","9","230","193","322","297","81","1","11","40","14","47","5","9","4","1","61","32","28","5","0","182","22","187","281","19","91","0","155","6","125","111","180","166","44","1","7","23","9","31","2","6","0","0","39","19","16","4","0","149","18","143","211","15","79","5","123","3","105","82","142","131","37","0","4","17","5","16","3","3","4","1","22","13","12","1","0"
"Arsenal","2011-12","6.94","222","53","362","446","34","154","3","235","12","237","165","327","212","98","0","16","48","10","54","10","8","2","5","72","39","26","9","0","120","27","203","235","18","97","0","137","7","120","93","172","122","56","0","7","26","6","30","6","3","0","2","39","19","17","3","0","102","26","159","211","16","57","3","98","5","117","72","155","90","42","0","9","22","4","24","4","5","2","3","33","20","9","6","0"
"Chelsea","2011-12","6.9","324","39","308","478","19","169","5","289","17","224","158","329","246","94","2","17","41","5","43","2","14","4","1","59","35","15","12","1","185","24","158","262","8","94","3","163","11","131","73","182","127","57","1","10","26","4","29","1","7","3","0","37","22","10","8","0","139","15","150","216","11","75","2","126","6","93","85","147","119","37","1","7","15","1","14","1","7","1","1","22","13","5","4","1"
"Fulham","2011-12","6.83","257","30","254","389","17","131","4","196","17","195","150","235","236","68","2","9","28","6","28","3","9","3","2","40","20","14","7","2","152","22","157","229","12","87","3","113","9","123","95","145","145","39","2","5","25","3","21","2","7","3","1","30","14","12","5","2","127","20","139","195","13","75","3","119","10","105","62","148","97","41","0","5","15","2","12","3","6","1","0","21","12","8","2","0"
"Liverpool","2011-12","6.82","277","48","342","468","23","170","6","308","24","207","152","324","224","119","0","10","25","7","24","3","14","1","3","41","21","13","8","0","112","14","127","177","3","67","6","103","7","82","68","168","45","40","0","3","20","3","15","1","5","5","2","21","20","2","4","0","103","17","88","141","19","46","2","88","2","67","53","128","46","33","1","5","8","6","10","3","5","1","1","18","11","4","4","0"
"Sunderland","2011-12","6.81","217","32","209","313","31","112","2","192","9","141","125","260","117","80","1","8","22","13","29","3","10","1","1","42","21","14","8","0","144","17","130","195","10","85","1","123","8","78","90","168","70","53","0","9","12","6","22","1","4","0","0","27","17","6","4","0","80","10","106","116","16","62","2","85","1","61","50","88","68","40","0","3","9","5","12","1","2","2","1","15","9","6","2","0"
"Swansea","2011-12","6.8","221","32","219","349","4","113","6","190","10","145","137","316","93","63","0","7","28","8","30","1","7","5","2","38","30","6","7","0","150","28","203","273","10","95","3","189","14","102","90","176","127","78","0","5","10","5","12","0","8","0","3","20","9","5","6","0","109","18","92","172","1","46","0","87","3","63","69","148","48","23","0","4","8","5","15","0","2","0","0","17","10","4","3","0"
"Newcastle United","2011-12","6.78","235","31","223","327","22","137","3","201","14","154","134","297","116","76","0","15","26","10","37","4","8","2","0","49","28","17","6","0","114","15","121","172","12","66","0","104","7","74","72","132","71","47","0","3","14","7","19","0","5","0","0","24","10","10","4","0","105","8","97","160","5","44","1","83","8","72","55","90","91","29","0","4","3","3","7","1","2","0","1","10","6","2","2","0"
"Aston Villa","2011-12","6.77","179","31","228","263","22","150","3","194","5","138","106","183","163","91","1","9","20","8","30","1","3","3","2","34","22","12","3","0","135","19","134","194","6","85","3","113","8","96","79","129","101","55","3","3","21","3","16","0","8","3","1","24","15","6","6","0","108","8","127","166","4","69","4","87","3","80","76","115","90","38","0","3","15","2","14","0","3","3","1","17","10","9","1","0"
"Everton","2011-12","6.75","225","32","263","358","13","144","5","217","11","164","139","239","185","91","5","9","32","7","29","1","13","5","3","43","25","14","9","0","160","20","113","205","5","80","3","132","5","82","79","174","75","43","1","5","13","5","13","0","8","2","1","21","13","2","7","1","91","14","93","132","12","52","2","78","6","76","44","129","46","23","0","6","14","4","15","3","4","2","0","22","11","11","2","0"
"West Bromwich Albion","2011-12","6.73","244","42","258","389","10","142","3","227","9","167","150","295","150","98","1","9","25","10","25","3","15","1","3","43","20","15","9","0","99","21","122","147","6","88","1","109","4","77","56","95","95","51","1","6","11","3","18","0","1","1","1","19","13","6","1","0","116","23","100","170","8","59","2","97","4","83","59","132","72","35","0","6","12","6","13","2","9","0","2","24","11","9","4","0"
"Queens Park Rangers","2011-12","6.71","296","38","205","389","7","140","3","235","13","150","154","313","143","82","1","8","26","7","28","0","11","2","2","39","24","6","10","1","69","41","104","111","4","94","5","101","3","61","52","98","38","78","0","7","16","2","10","0","11","4","1","21","11","4","10","0","90","13","129","164","7","59","2","104","3","68","60","110","84","36","2","6","11","4","13","1","5","2","2","19","10","8","3","0"
"Bolton","2011-12","6.68","222","21","252","329","7","153","6","181","4","162","152","230","180","85","0","7","29","6","24","0","13","5","1","37","16","19","7","0","128","19","158","219","2","83","1","130","5","84","91","163","78","63","1","3","13","4","12","1","6","1","1","19","9","6","5","0","116","12","106","173","13","42","6","103","3","77","54","134","77","23","0","1","16","3","9","1","6","4","0","16","10","8","2","0"
"Norwich","2011-12","6.67","233","42","239","344","25","143","2","229","2","164","121","239","169","104","2","15","32","5","30","4","16","2","1","50","24","12","15","1","133","32","113","184","14","78","2","123","2","80","75","141","80","55","2","11","15","2","15","1","10","2","0","26","14","5","8","1","100","10","126","160","11","65","0","106","0","84","46","98","89","49","0","4","17","3","15","3","6","0","1","24","10","7","7","0"
"Wigan","2011-12","6.66","257","31","231","379","20","113","7","219","10","162","138","278","176","65","0","3","25","13","23","2","11","5","1","36","24","11","6","0","123","24","127","168","4","96","6","114","6","84","76","137","94","43","0","7","14","2","11","1","9","2","1","21","11","7","5","0","136","18","92","184","2","60","0","103","8","68","75","139","68","39","0","3","13","2","15","0","3","0","1","18","11","4","3","0"
"Stoke","2011-12","6.65","137","60","179","207","11","152","6","196","4","94","86","186","71","118","1","13","20","2","14","1","16","4","3","31","15","6","14","0","141","19","125","206","7","71","1","116","7","85","84","144","99","42","0","2","9","10","14","1","5","1","1","20","14","3","4","0","93","13","107","156","2","52","3","88","2","65","60","74","89","50","0","4","15","2","14","0","5","2","1","19","11","5","5","0"
"Blackburn","2011-12","6.63","214","39","200","276","10","159","8","184","10","143","126","224","153","75","1","15","22","7","19","2","19","4","3","40","18","12","13","1","114","13","125","163","3","84","2","94","1","82","76","115","90","47","0","4","14","4","10","0","10","2","0","20","6","10","6","0","91","15","73","108","6","63","2","70","4","59","50","87","59","32","1","8","8","5","8","1","10","2","2","19","7","5","8","1"
